The shortest found route goes through the following cities:
(769,723)
(594,689)
(558,646)
(508,784)
(393,713)
(453,633)
(570,740)
(591,652)
(588,629)
(553,638)
(596,483)
(435,602)
(446,687)
(401,697)
(425,608)
(390,585)
(437,637)
(344,741)
(200,685)
(152,635)
(146,722)
(207,655)
(100,592)
(116,615)
(104,516)
(218,563)
(217,524)
(330,418)
(343,337)
(109,390)
(283,417)
(386,415)
(434,335)
(492,301)
(336,342)
(396,352)
(393,377)
(336,509)
(207,480)
(294,450)
(416,322)
(322,470)
(324,645)
(298,556)
(242,718)
(220,750)
(410,793)
(113,747)
(367,659)
(181,636)
(243,654)
(168,444)
(146,340)
(138,345)
(219,254)
(238,194)
(336,256)
(449,146)
(473,101)
(694,105)
(729,348)
(770,422)
(638,335)
(534,187)
(417,198)
(278,151)
(267,121)
(378,224)
(330,168)
(191,226)
(193,242)
(314,446)
(349,380)
(280,245)
(502,331)
(487,460)
(543,503)
(592,570)
(565,679)
(493,609)
(491,510)
(494,538)
(503,423)
(662,410)
(792,357)
(696,201)
(688,190)
(777,113)
(745,500)
(711,461)
(640,519)
(689,736)
(754,711)
(691,747)
(687,618)
(723,611)
(797,626)
(786,720)
(790,769)
(772,783)
